algebra/binary-exp.md	Ikkilik darajaga oshirish	Daraja ko‘rsatkichi ikkilik ko‘rinishda ajratiladi: har qadamda asos kvadratga oshiriladi, kerakli bitlar uchun natijaga ko‘paytiriladi. Xuddi shu g‘oya assotsiativ amal mavjud bo‘lgan matritsa, permutatsiya va boshqa obyektlarga ham qo‘llanadi.	Vaqt O(log n), qo‘shimcha xotira iterativ variantda O(1).	Katta darajalar, modul bo‘yicha darajaga oshirish, matritsa va permutatsiya darajalari.
algebra/euclid-algorithm.md	EKUBni hisoblash uchun Evklid algoritmi	gcd(a,b)=gcd(b,a mod b) tengligi katta argumentni qoldiq bilan ketma-ket almashtirish imkonini beradi. Qoldiq nolga aylanganda, oxirgi noldan farqli qiymat EKUB bo‘ladi.	Vaqt O(log min(a,b)), xotira iterativ variantda O(1).	Kasrlarni qisqartirish, sonlar nazariyasi, modul arifmetikasi.
algebra/extended-euclid-algorithm.md	Kengaytirilgan Evklid algoritmi	Oddiy Evklid algoritmi bilan birga ax+by=gcd(a,b) tenglikni qanoatlantiruvchi x va y koeffitsiyentlari ham tiklanadi. Rekursiyadan qaytishda qoldiq tenglamalari orqaga qo‘yiladi.	Vaqt O(log min(|a|,|b|)), xotira O(log min(|a|,|b|)) rekursiv variantda.	Modul bo‘yicha teskari element, Diofant tenglamalari, CRT.
algebra/linear-diophantine-equation.md	Chiziqli Diofant tenglamalari	ax+by=c tenglama butun yechimga faqat gcd(a,b) soni c ni bo‘lganda ega. Bitta yechim kengaytirilgan Evklid orqali topilib, barcha yechimlar parametrik ko‘rinishda yoziladi.	Bitta tenglama uchun O(log min(|a|,|b|)).	Butun sonli cheklovlar, kongruensiyalar, yechimlarni oraliqda sanash.
algebra/fibonacci-numbers.md	Fibonacci sonlari	Fibonacci ketma-ketligi rekurrent formula, matritsa darajasi yoki fast doubling formulalari bilan hisoblanadi. Fast doubling bir qadamda F(2k) va F(2k+1) ni F(k),F(k+1) dan oladi.	Fast doubling yoki matritsa usuli bilan O(log n); oddiy iteratsiya O(n).	Rekurrent ketma-ketliklar, matritsa darajasi, kombinatorik sanash.
algebra/sieve-of-eratosthenes.md	Eratosthen elagi	2 dan n gacha sonlar avval tub deb olinadi, so‘ng har bir tub sonning undan boshlanadigan karralilari murakkab deb belgilanadi. Belgilashni p² dan boshlash takroriy ishni kamaytiradi.	Vaqt O(n log log n), xotira O(n).	Tub sonlar ro‘yxati, faktorizatsiya uchun tayyorlash, sonlar nazariyasi.
algebra/prime-sieve-linear.md	Chiziqli elak	Har bir murakkab son aynan eng kichik tub bo‘luvchisi orqali bir marta hosil qilinadi. Natijada tub sonlar ro‘yxati bilan birga smallest prime factor massivi ham olinadi.	Vaqt O(n), xotira O(n).	Ko‘p sonlarni tez faktorizatsiya qilish, arifmetik funksiyalarni hisoblash.
algebra/primality_tests.md	Tub sonlikni tekshirish usullari	Oddiy bo‘lish sinovi √n gacha bo‘luvchilarni tekshiradi; katta 64-bit sonlar uchun Miller–Rabin kabi testlar darajaga oshirish va guvohlar orqali ishlaydi. Deterministik bazalar tanlansa, 64-bit oraliqda aniq javob olish mumkin.	Oddiy sinov O(√n); Miller–Rabin murakkabligi raundlar va ko‘paytirish modeliga bog‘liq.	Katta tub sonlarni tekshirish, faktorizatsiya, kriptografik va kombinatorik hisoblar.
algebra/factorization.md	Butun sonni ko‘paytuvchilarga ajratish	Sonni tub ko‘paytuvchilarga ajratish uchun sinov bo‘lishi, oldindan hisoblangan eng kichik tub bo‘luvchilar, Fermat yoki Pollard’s rho kabi usullar tanlanadi. Usul son hajmi va so‘rovlar soniga moslanadi.	Usulga bog‘liq: sinov bo‘lishi O(√n), SPF bilan har bir faktorizatsiya O(log n) gacha.	Bo‘luvchilar, Euler funksiyasi, kongruensiyalar, sonlar nazariyasi.
algebra/phi-function.md	Eulerning φ funksiyasi	φ(n) — 1 dan n gacha n bilan o‘zaro tub sonlar soni. n ning turli tub bo‘luvchilari p uchun n·∏(1−1/p) formulasi faktorizatsiyadan bevosita kelib chiqadi.	Bitta n uchun faktorizatsiya bilan O(√n); 1..N uchun elak O(N log log N) yoki chiziqli usul O(N).	Euler teoremasi, modul darajalar, o‘zaro tub sonlarni sanash.
algebra/divisors.md	Bo‘luvchilar soni va bo‘luvchilar yig‘indisi	n=∏pᵢ^{aᵢ} faktorizatsiyasidan bo‘luvchilar soni ∏(aᵢ+1), yig‘indisi esa geometrik progressiyalar ko‘paytmasi sifatida olinadi. Shuning uchun asosiy xarajat faktorizatsiyaga to‘g‘ri keladi.	Faktorizatsiyadan keyin O(k), bu yerda k — turli tub bo‘luvchilar soni.	Bo‘luvchilarni sanash, mukammal sonlar, multiplikativ funksiyalar.
algebra/module-inverse.md	Modul bo‘yicha teskari element	a·x≡1 (mod m) tenglamadagi x faqat gcd(a,m)=1 bo‘lganda mavjud. Uni kengaytirilgan Evklid, Euler/Fermat teoremasi yoki ko‘p qiymatlar uchun chiziqli rekurrent formula bilan topish mumkin.	Bitta qiymat uchun O(log m); 1..m−1 inverslar uchun O(m).	Modul bo‘yicha bo‘lish, kombinatorika, CRT.
algebra/linear_congruence_equation.md	Chiziqli kongruensiya tenglamasi	a·x≡b (mod m) tenglama gcd(a,m) soni b ni bo‘lgandagina yechimga ega. Tenglama EKUBga bo‘linib, teskari element orqali asosiy yechim va barcha qoldiq sinflari olinadi.	O(log m).	Modul tenglamalar, davriy jarayonlar, Diofant masalalari.
algebra/chinese-remainder-theorem.md	Xitoy qoldiqlar teoremasi	Juft o‘zaro tub modullar uchun qoldiqlar sistemasi ularning ko‘paytmasi modulida yagona yechim beradi. Umumiy holatda modullar EKUBi bilan moslik tekshiriladi va yechimlar bosqichma-bosqich birlashtiriladi.	K ta kongruensiyani birlashtirish odatda O(k log M), katta son arifmetikasiga bog‘liq.	Turli modullardagi hisoblarni birlashtirish, katta modullar, rekonstruksiya.
algebra/garners-algorithm.md	Garner algoritmi	Garner algoritmi CRT yechimini aralash asosli sanoq tizimidagi raqamlar sifatida tiklaydi. Bu katta modullar ko‘paytmasini to‘g‘ridan-to‘g‘ri saqlamasdan kerakli modulda javob olishga yordam beradi.	K modul uchun odatda O(k²).	Modul rekonstruksiyasi, katta butun sonlarni bir nechta modullar orqali ifodalash.
algebra/factorial-modulo.md	p modul bo‘yicha faktorial	n! ichidagi p ko‘paytuvchilari ajratilib, qolgan ko‘paytma p modulida bloklar bo‘yicha hisoblanadi. Wilson teoremasi to‘liq bloklarni soddalashtirishga yordam beradi.	Oldindan hisoblash bilan taxminan O(p + log_p n) yoki variantga qarab O(p log_p n).	Binomial koeffitsiyentlar, p-adik darajalar, katta faktoriallar.
algebra/discrete-log.md	Diskret logarifm	a^x≡b (mod m) tenglamadagi x Baby-step–Giant-step orqali √m o‘lchamli ikki qismga ajratiladi. Umumiy modullarda o‘zaro tub bo‘lmagan omillar alohida qayta ishlanadi.	Vaqt va xotira O(√m) atrofida, qidiruv tuzilmasiga qarab log omili bo‘lishi mumkin.	Modul tenglamalar, diskret ildiz, siklik guruhlar.
algebra/primitive-root.md	Primitiv ildiz	Primitiv ildiz modul bo‘yicha barcha teskari qoldiqlarni darajalari bilan hosil qiluvchi elementdir. Nomzod g uchun φ(m) ning tub bo‘luvchilari q bo‘yicha g^{φ(m)/q}≠1 tekshiriladi.	Asosiy xarajat φ(m) ni faktorizatsiya qilish va bir nechta O(log m) darajaga oshirishdan iborat.	NTT, diskret logarifm, siklik guruhlar.
algebra/discrete-root.md	Diskret ildiz	x^k≡a (mod m) tenglama primitiv ildiz mavjud bo‘lgan hollarda ko‘rsatkichlar bo‘yicha chiziqli kongruensiyaga aylantiriladi. Diskret logarifm topilgach, barcha yechimlar tiklanadi.	Diskret logarifm va faktorizatsiya murakkabligiga bog‘liq; odatda O(√m) atrofida.	Modul tenglamalar, k-darajali qoldiqlar.
algebra/montgomery_multiplication.md	Montgomery ko‘paytirishi	Sonlar R ga ko‘paytirilgan Montgomery ko‘rinishida saqlanadi va modulga bo‘lish o‘rniga bit siljitish hamda oldindan hisoblangan teskari qiymat ishlatiladi. Bu ko‘p marotaba modul ko‘paytirishlarda tezlik beradi.	Mashina so‘zi sig‘adigan modul uchun har ko‘paytirish O(1); katta sonlarda razryadlar soniga bog‘liq.	Tez modul darajaga oshirish, primality testlari, kriptografik hisoblar.
algebra/balanced-ternary.md	Muvozanatlangan uchlik sanoq tizimi	Raqamlar −1, 0 va 1 qiymatlarini oladi; shu sabab manfiy va musbat sonlar alohida ishorasiz ifodalanadi. Oddiy uchlik yozuvdagi 2 raqami ko‘tarish orqali −1 ga aylantiriladi.	Konvertatsiya O(log₃ |n|).	Og‘irliklar masalasi, noodatiy sanoq tizimlari.
